epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,5257.53,1.18,1.19269,1.46801,0.93948,0.91262,0.96799,0.67963,1.0355,0.55591,1.31796,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,5332.18,1.17851,1.20192,1.47095,0.93798,0.91328,0.96841,0.68157,1.03266,0.55526,1.31723,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,5406.78,1.17108,1.18688,1.4701,0.93552,0.91814,0.96923,0.68476,1.02798,0.54798,1.31258,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,5481.36,1.16886,1.19012,1.46726,0.93666,0.92082,0.97008,0.68553,1.02452,0.54486,1.30875,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,5555.89,1.15679,1.15731,1.45527,0.93759,0.9208,0.96979,0.68701,1.01984,0.54271,1.30549,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,5630.5,1.16151,1.16106,1.46142,0.94072,0.91863,0.97033,0.68766,1.01775,0.54134,1.30435,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,5705.01,1.1568,1.16455,1.4542,0.93989,0.92134,0.97142,0.68914,1.01378,0.53722,1.30074,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,5779.55,1.15304,1.13616,1.4453,0.9455,0.919,0.97227,0.69102,1.01145,0.5333,1.29638,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,5854.01,1.15402,1.1449,1.45211,0.94188,0.92479,0.97289,0.69223,1.00837,0.53006,1.29398,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,5928.38,1.1412,1.13045,1.44221,0.94537,0.92353,0.97353,0.69355,1.0065,0.52592,1.29055,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,6002.92,1.14674,1.13624,1.44594,0.9447,0.925,0.97414,0.69563,1.00251,0.52386,1.2864,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,6077.55,1.14047,1.12558,1.44214,0.94547,0.92642,0.97495,0.69761,0.99743,0.52091,1.28336,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,6152.1,1.13891,1.13044,1.44266,0.9453,0.92908,0.97551,0.69947,0.9943,0.51863,1.27949,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,6226.78,1.13381,1.117,1.43711,0.94357,0.93153,0.97595,0.7009,0.99061,0.51498,1.27591,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,6301.44,1.12941,1.11121,1.43351,0.9452,0.93177,0.97645,0.70218,0.98691,0.51231,1.27328,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,6375.98,1.13008,1.10259,1.4303,0.94721,0.93059,0.97642,0.70276,0.98505,0.51084,1.27169,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,6450.53,1.12829,1.09412,1.4306,0.94603,0.93127,0.97672,0.70409,0.98263,0.50993,1.26959,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,6525.07,1.12381,1.10443,1.43483,0.94649,0.93226,0.97708,0.70567,0.97955,0.50817,1.26717,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,6599.59,1.12049,1.09926,1.4318,0.94656,0.93342,0.97754,0.70686,0.97698,0.50582,1.26501,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,6674.03,1.12341,1.08287,1.42688,0.94776,0.93366,0.97787,0.7076,0.975,0.50397,1.26319,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,6748.61,1.11746,1.08179,1.42072,0.95115,0.93212,0.97823,0.70868,0.97249,0.5014,1.26095,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,6822.78,0.99893,0.67538,1.37459,0.95184,0.93384,0.97889,0.71065,0.96657,0.49846,1.2563,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,6896.57,0.9826,0.63865,1.359,0.94883,0.93812,0.97936,0.71197,0.96104,0.4955,1.25157,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,6970.38,0.97037,0.62798,1.35059,0.95011,0.93967,0.97972,0.71415,0.95553,0.49247,1.24679,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,7044.14,0.97112,0.62218,1.34694,0.95254,0.94121,0.98005,0.71574,0.95069,0.48957,1.24253,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,7117.93,0.96335,0.60675,1.34064,0.9532,0.94142,0.98073,0.71757,0.94624,0.48654,1.23902,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,7191.65,0.95398,0.59239,1.33336,0.9544,0.94132,0.98107,0.71908,0.9421,0.48393,1.23551,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,7265.43,0.94819,0.59857,1.33373,0.95495,0.94215,0.98141,0.72074,0.93836,0.48153,1.23244,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,7339.19,0.94232,0.58269,1.33001,0.95491,0.94268,0.98166,0.72148,0.93511,0.47948,1.22986,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,7412.94,0.93864,0.57874,1.32172,0.95588,0.94337,0.98194,0.72258,0.9324,0.47742,1.22752,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,7486.81,0.93388,0.5755,1.31917,0.95704,0.94373,0.98199,0.7232,0.93007,0.47594,1.2254,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
